"DF","errorForDF"
1,0.096678087397864
2,0.12529482743419
3,0.126441695618235
4,0.128967408355607
5,0.129780848452777
6,0.12592764190849
7,0.119837701193745
8,0.114939893164691
9,0.112424792190436
10,0.111856122992541
11,0.112340710000557
12,0.113137183424569
13,0.113766061557753
14,0.113994964246386
15,0.113758513295739
16,0.113093701905575
17,0.112075270563211
18,0.110794643666855
19,0.109339790423876
20,0.107783316663291
21,0.106172008088809
22,0.104582035359206
23,0.10300716313369
24,0.101518260351079
25,0.100085388705902
26,0.0987629916641886
27,0.0975202791392556
28,0.0964001709230722
29,0.0953705750080727
30,0.0944307865432929
31,0.0935970769502718
32,0.09285451089032
33,0.0921966885632022
34,0.0916181364049246
35,0.091112883297061
36,0.0906746287771152
37,0.0902973175086695
38,0.0899749752694238
39,0.0897044678783341
40,0.0894746725113514
41,0.089279667801745
42,0.089119719391315
43,0.0889866368198262
44,0.0888752136799131
45,0.0887804096833678
46,0.0886973656386039
47,0.0886224726852253
48,0.0885492346416009
49,0.0884745531317456
50,0.0883933738987171
51,0.0883041021298211
52,0.0882023434516447
53,0.0880849364054711
54,0.0879489173448454
55,0.0877930273396933
56,0.0876128014258018
57,0.0874067079753531
58,0.0871743373142897
59,0.0869134049459676
60,0.0866226099305813
61,0.0863008612388668
62,0.0859472626590817
63,0.0855610976511951
64,0.0851418143997486
65,0.0846890112606394
66,0.0842024227470238
67,0.0836913180108808
68,0.0831375676636121
69,0.0825499348792511
70,0.0819291896624116
71,0.0812613833767761
72,0.0805725065435282
73,0.0798507838658751
74,0.0790955001199592
75,0.0783149377434503
76,0.0775120252842673
77,0.0766409225400568
78,0.0757854409722806
79,0.0748554334002386
80,0.0739161067900333
81,0.0729731030130487
82,0.0719742219381012
83,0.0709535554730676
84,0.0699052069992404
85,0.0688297917342937
86,0.0677281974762661
87,0.0666014838015962
88,0.0654494398685342
89,0.0642463100320749
90,0.063074164350471
91,0.0618187452741462
92,0.0605790796580197
93,0.0593096119647974
94,0.0580218042613483
95,0.0567065739852769
96,0.0554160739081431
97,0.054028305568925
98,0.0527017003293155
99,0.0513136448957921
